重問番号,問題名,分野,推定リード章,根拠(マッチしたリードα問題・スコア),確信度
121,発光ダイオードを含む直流回路,電磁気,24章,"抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.133); 電球を含む回路で非直線抵抗の電流を求める｜リードα 第24章 基本問題419【高校物理】(章24, score=0.125); ダイオードのグラフから電流と消費電力を求める｜リードα 第24章 基本問題422【高校物理】(章24, score=0.103)",中
122,コンデンサーを含む直流回路・最大消費電力,電磁気,24章,"抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.186)",中
123,電圧と電流の関係,電磁気,23章,"自由電子の速さと電流の関係を式で求める｜リードα 第23章 応用問題403【高校物理】(章23, score=0.143)",中
125,直線電流と円形電流がつくる磁場,電磁気,25章,"円形電流と直線電流が接するときの合成磁場を求める｜リードα 第25章 基本問題430【高校物理】(章25, score=0.18); 直交する2本の電流がつくる磁場と力を求める｜リードα 第25章 基本問題435【高校物理】(章25, score=0.14); 正方形頂点の4本の電流がつくる中心の磁場を求める｜リードα 第25章 応用問題438【高校物理】(章25, score=0.132)",中
129,サイクロトロン,電磁気,25章,"サイクロトロンで加速される粒子の軌道半径を求める｜リードα 第25章 応用問題440【高校物理】(章25, score=0.167)",中
132,磁場中を運動する導体棒,電磁気,26章,"磁場中を動く金属棒の誘導起電力を求める｜リードα 第26章 基本問題446【高校物理】(章26, score=0.151); 磁場を通過するコイルの誘導起電力を求める｜リードα 第26章 応用問題454【高校物理】(章26, score=0.127)",中
133,傾斜したレール上をすべる導体棒,電磁気,26章,"磁場中を動く金属棒の誘導起電力を求める｜リードα 第26章 基本問題446【高校物理】(章26, score=0.127); 電流グラフからコイルの誘導起電力を描く｜リードα 第26章 基本問題451【高校物理】(章26, score=0.107); 磁場を通過するコイルの誘導起電力を求める｜リードα 第26章 応用問題454【高校物理】(章26, score=0.105); コイルの磁束変化から誘導起電力を求める｜リードα 第26章 基本問題444【高校物理】(章26, score=0.089)",中
134,長方形コイルに生じる誘導起電力,電磁気,26章,"コイルの磁束変化から誘導起電力を求める｜リードα 第26章 基本問題444【高校物理】(章26, score=0.222)",中
135,斜面上を動く正方形コイルに生じる誘導起電力,電磁気,25章・26章,"コイルの磁束変化から誘導起電力を求める｜リードα 第26章 基本問題444【高校物理】(章26, score=0.127); 電流グラフからコイルの誘導起電力を描く｜リードα 第26章 基本問題451【高校物理】(章26, score=0.125); 磁場中を動く金属棒の誘導起電力を求める｜リードα 第26章 基本問題446【高校物理】(章26, score=0.125); 磁場を通過するコイルの誘導起電力を求める｜リードα 第26章 応用問題454【高校物理】(章26, score=0.123); 直線電流が正方形コイルに及ぼす力を合成する｜リードα 第25章 応用問題439【高校物理】(章25, score=0.121)",中
141,交流の発生,電磁気,26章,"磁場中で回転するL字形導体棒の角速度を求める｜リードα 第26章 応用問題458【高校物理】(章26, score=0.123); 磁場を通過するコイルの誘導起電力を求める｜リードα 第26章 応用問題454【高校物理】(章26, score=0.088)",中
143,RLC直列回路,電磁気,22章・24章,"充電したコンデンサーを別につないだときの電圧を求める｜リードα 第22章 基本問題384【高校物理】(章22, score=0.156); コンデンサーをつないだときの静電エネルギー減少量を求める｜リードα 第22章 基本例題75【高校物理】(章22, score=0.136); 抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.123); 電池2個を直列・並列につないだ電流を求める｜リードα 第24章 基本問題412【高校物理】(章24, score=0.113)",中
144,RLC並列回路,電磁気,22章・24章,"充電したコンデンサーを別につないだときの電圧を求める｜リードα 第22章 基本問題384【高校物理】(章22, score=0.156); コンデンサーをつないだときの静電エネルギー減少量を求める｜リードα 第22章 基本例題75【高校物理】(章22, score=0.136); 抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.123)",中
145,電気振動,電磁気,22章・24章,"電気力線の本数から電場とコンデンサーの容量を求める｜リードα 第22章 応用問題388【高校物理】(章22, score=0.121); 抵抗とコンデンサーを含む回路の電位と電気量を求める｜リードα 第24章 基本問題413【高校物理】(章24, score=0.121); 直列接続コンデンサーの合成容量と電気量を求める｜リードα 第22章 基本問題379【高校物理】(章22, score=0.105); 極板面積と間隔からコンデンサーの電気容量を求める｜リードα 第22章 基本問題375【高校物理】(章22, score=0.103); 2つの電池を使った回路でコンデンサーの電気量を求める｜リードα 第22章 基本問題385【高校物理】(章22, score=0.102)",中
161,気体の分子運動と音の速さ,考察,13章・14章・17章,"球形容器内の分子運動から圧力の式を導く｜リードα 第13章 応用問題259【高校物理】(章13, score=0.148); 立方体容器内の分子運動から圧力の式を導く｜リードα 第13章 基本問題247【高校物理】(章13, score=0.145); 船と波の相対運動から波の速さを導出する｜リードα 第14章 応用問題278【高校物理】(章14, score=0.13); 気温と音速の関係式から音の速さを求める｜リードα 第17章 基本問題294【高校物理】(章17, score=0.127)",中
162,回路素子の決定,考察,27章,"抵抗・コイル・コンデンサーの消費電力を求める｜リードα 第27章 基本問題465【高校物理】(章27, score=0.194)",中
3,斜面をすべり上がる物体の速度測定,力学,1章,"v-tグラフから加速度と移動距離を読み取る｜リードα 第1章 基本例題5【高校物理】(章1, score=0.392)",高
